City,Country,Population,Country_code
Istanbul,Turkey,15462452,TR
Moscow,Russian Federation (the),12195221,RU
London,United Kingdom of Great Britain and Northern Ireland (the),9126366,GB
Saint Petersburg,Russian Federation (the),5383890,RU
Berlin,Germany,3748148,DE
Madrid,Spain,3223334,ES
Kyiv,Ukraine,2950800,UA
Rome,Italy,2844750,IT
Bucharest,Romania,2155240,RO
Paris,France,2140526,FR
Minsk,Belarus,1982444,BY
Vienna,Austria,1921153,AT
Hamburg,Germany,1899160,DE
Warsaw,Poland,1793579,PL
Budapest,Hungary,1768073,HU
Barcelona,Spain,1636762,ES
Munich,Germany,1488202,DE
Kharkiv,Ukraine,1451132,UA
Milan,Italy,1404239,IT
Belgrade,Serbia,1344844,RS
